time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
06:13:18.794,2.71134e-312,2.7082e-312,1.04e-310,1.55348e-310,2.96439e-323,3.39519e-313,35,35,3.58477e-311,1.3113e-313,1.83748e-311
06:13:19.045,2.71134e-312,2.71134e-312,1.04e-310,-74.0327,3.35259e-312,-1.86087e-312,35,85,-51.6846,-0.194502,-25.7513
06:13:19.296,2.71134e-312,2.71134e-312,1.04e-310,-74.0327,3.35259e-312,-1.86087e-312,38.9295,81.0705,-51.6846,-0.38924,25.7357
06:13:19.547,2.71134e-312,2.71134e-312,1.04e-310,-74.0327,3.35259e-312,-1.86087e-312,35,85,-51.6846,-0.389181,0
06:13:19.798,-1.99105,6.45005,1.04e-310,-73.2284,-0.1399,-6.74891,35,85,-51.123,-0.387055,0.279661
06:13:20.049,-1.99105,6.45005,1.04e-310,-73.2284,-0.1399,-6.74891,35,85,-51.123,-0.384906,-0.279686
06:13:20.300,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,85,35,8.34905,-0.161062,29.6143
06:13:20.552,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,43.0341,76.9659,8.34905,0.0628648,-29.6193
06:13:20.802,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628713,0
06:13:21.053,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628676,0
06:13:21.304,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628708,0
06:13:21.557,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629293,0
06:13:21.807,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628489,0
06:13:22.058,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628585,0
06:13:22.311,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629337,0
06:13:22.560,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0627977,0
06:13:22.811,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628758,0
06:13:23.061,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628411,0
06:13:23.315,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629635,0
06:13:23.566,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0627982,0
06:13:23.819,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0630005,0
06:13:24.070,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627358,0
06:13:24.317,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628797,0
06:13:24.570,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0628939,0
06:13:24.819,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628479,0
06:13:25.070,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.062843,0
06:13:25.324,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629916,0
06:13:25.576,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0627767,0
06:13:25.823,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.062853,0
06:13:26.077,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628633,0
06:13:26.329,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629878,0
06:13:26.580,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627608,0
06:13:26.831,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0630133,0
06:13:27.081,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627127,0
06:13:27.329,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628726,0
06:13:27.582,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.062898,0
06:13:27.835,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629811,0
06:13:28.086,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627149,0
06:13:28.333,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628858,0
06:13:28.584,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628326,0
06:13:28.839,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7298,53.2702,8.34905,0.0631772,0
06:13:29.089,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7293,53.2707,8.34905,0.0626229,0
06:13:29.337,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.062836,0
06:13:29.588,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628436,0
06:13:29.843,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0631135,0
06:13:30.093,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.06265,0
06:13:30.343,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629921,0
06:13:30.595,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627379,0
06:13:30.850,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0630351,0
06:13:31.097,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0627004,0
06:13:31.349,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7296,53.2704,8.34905,0.0629848,0
06:13:31.596,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.062739,0
06:13:31.850,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7298,53.2702,8.34905,0.0631457,0
06:13:32.098,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7293,53.2707,8.34905,0.0626218,0
06:13:32.349,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.0628513,0
06:13:32.603,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7295,53.2705,8.34905,0.062868,0
06:13:32.855,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0630834,0
06:13:33.106,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.0626553,0
06:13:33.359,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0630653,0
06:13:33.604,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7294,53.2706,8.34905,0.062654,0
06:13:33.860,-1.99105,6.45005,-85.1875,-73.2284,-0.1399,-6.74891,66.7297,53.2703,8.34905,0.0630748,0
