time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
00:25:36.073,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,66.3507,53.6493,5.80119,0.155983,0.393559
00:25:36.123,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,58.7559,61.2441,5.80119,0.00870356,-7.05399
00:25:36.173,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,62.2823,57.7177,5.80119,0.00869887,-3.52759
00:25:36.223,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,64.0462,55.9538,5.80119,0.00870298,-1.76367
00:25:36.274,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,64.9283,55.0717,5.80119,0.00870609,-0.881618
00:25:36.323,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.3692,54.6308,5.80119,0.00870605,-0.440701
00:25:36.374,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.5894,54.4106,5.80119,0.00869058,-0.220492
00:25:36.424,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.6997,54.3003,5.80119,0.00870892,-0.110201
00:25:36.474,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.7548,54.2452,5.80119,0.00869655,-0.0551171
00:25:36.524,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.7823,54.2177,5.80119,0.00870593,-0.027552
00:25:36.574,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.7961,54.2039,5.80119,0.00869937,-0.0137779
00:25:36.623,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.803,54.197,5.80119,0.0087046,-0.00688784
00:25:36.673,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8064,54.1936,5.80119,0.00869875,-0.00344452
00:25:36.723,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8082,54.1918,5.80119,0.00870431,-0.00172201
00:25:36.773,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.809,54.191,5.80119,0.008699,-0.000861144
00:25:36.823,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8095,54.1905,5.80119,0.0087039,-0.00043052
00:25:36.873,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8097,54.1903,5.80119,0.00870004,-0.000215282
00:25:36.923,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00870526,-0.000107619
00:25:36.973,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00869821,-5.38207e-05
00:25:37.024,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00870294,-2.69086e-05
00:25:37.073,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00869887,-1.34565e-05
00:25:37.123,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00870443,-6.72725e-06
00:25:37.173,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00870099,-3.36378e-06
00:25:37.223,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00869946,-1.68211e-06
00:25:37.275,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00874373,-8.39035e-07
00:25:37.324,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00868792,-4.19852e-07
00:25:37.379,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.81,54.19,5.80119,0.00877012,-2.09105e-07
00:25:37.424,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00863157,-1.04976e-07
00:25:37.475,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00869755,-5.25008e-08
00:25:37.527,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.81,54.19,5.80119,0.00876082,-2.61617e-08
00:25:37.577,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00872833,-1.30609e-08
00:25:37.627,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00868958,-6.53504e-09
00:25:37.675,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00865759,-3.27584e-09
00:25:37.725,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00870273,-1.63783e-09
00:25:37.777,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.00875024,-8.16641e-10
00:25:37.827,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8099,54.1901,5.80119,0.0087051,-4.08243e-10
00:25:37.875,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00862879,-2.04981e-10
00:25:37.927,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.81,54.19,5.80119,0.00879053,-1.01971e-10
00:25:37.974,-0.774298,-0.983906,15.3125,23.6221,-0.729898,-1.01728,65.8098,54.1902,5.80119,0.00862556,-5.12096e-11
