time,x,y,yaw,desired_heading,CTE,ATE,left_vel,right_vel,P,I,D
01:01:47.944,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.5081,54.4919,5.05452,0.158547,0.295081
01:01:48.243,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,63.337,56.663,5.05452,0.0454921,-1.76298
01:01:48.543,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,64.8482,55.1518,5.05452,0.0454926,-0.251846
01:01:48.843,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.064,54.936,5.05452,0.0454889,-0.0359791
01:01:49.145,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0949,54.9051,5.05452,0.0455658,-0.00513261
01:01:49.445,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0993,54.9007,5.05452,0.0454695,-0.000733522
01:01:49.744,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454591,-0.000104851
01:01:50.044,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454754,-1.4983e-05
01:01:50.344,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454981,-2.14013e-06
01:01:50.645,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454962,-3.05701e-07
01:01:50.944,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454824,-4.36784e-08
01:01:51.244,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0455047,-6.23811e-09
01:01:51.544,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454871,-8.91219e-10
01:01:51.847,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455749,-1.27115e-10
01:01:52.147,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454138,-1.81857e-11
01:01:52.448,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455793,-2.59362e-12
01:01:52.748,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.045553,-3.70083e-13
01:01:53.047,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0453885,-5.29709e-14
01:01:53.344,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454668,-7.57067e-15
01:01:53.647,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0455246,-1.08083e-15
01:01:53.948,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0455068,-1.54358e-16
01:01:54.247,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454154,-2.20824e-17
01:01:54.549,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455628,-3.15035e-18
01:01:54.844,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454115,-4.50722e-19
01:01:55.148,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455686,-6.42945e-20
01:01:55.447,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454724,-9.18808e-21
01:01:55.744,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454282,-1.31413e-21
01:01:56.047,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455342,-1.87579e-22
01:01:56.348,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454491,-2.6818e-23
01:01:56.648,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455525,-3.82669e-24
01:01:56.946,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454295,-5.473e-25
01:01:57.244,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454925,-7.8183e-26
01:01:57.545,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454891,-1.11693e-26
01:01:57.847,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455592,-1.59356e-27
01:01:58.144,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454209,-2.27951e-28
01:01:58.451,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454908,-3.25643e-29
01:01:58.748,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455665,-4.64541e-30
01:01:59.044,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454193,-6.64523e-31
01:01:59.348,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455611,-9.48059e-32
01:01:59.647,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454769,-1.35472e-32
01:01:59.948,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454866,-1.93547e-33
01:02:00.244,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454316,-2.76803e-34
01:02:00.547,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454947,-3.95403e-35
01:02:00.847,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455498,-5.64233e-36
01:02:01.147,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.045502,-8.05876e-37
01:02:01.445,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454162,-1.15287e-37
01:02:01.744,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454942,-1.64684e-38
01:02:02.047,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1001,54.8999,5.05452,0.0455577,-2.34967e-39
01:02:02.344,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.0999,54.9001,5.05452,0.0454228,-3.36096e-40
01:02:02.647,-0.774298,1.63984,-161.5,-154.26,-1.78514,0.319169,65.1,54.9,5.05452,0.0454915,-4.8013e-41
